UNIQUE_CARRIER_NAME,Date,Open,High,Low,Close,Adj Close,Volume
Southwest Airlines Co.,12/1/2004,15.76,16.75,15.41,16.28,14.30,63146500
Southwest Airlines Co.,1/1/2005,16.34,16.45,13.60,14.48,12.72,80178000
Southwest Airlines Co.,2/1/2005,14.48,15.00,13.71,13.85,12.17,58002700
Southwest Airlines Co.,3/1/2005,13.84,14.83,13.84,14.24,12.51,90121200
Southwest Airlines Co.,4/1/2005,14.24,15.40,13.85,14.88,13.08,97312600
Southwest Airlines Co.,5/1/2005,14.88,15.50,14.36,14.55,12.79,87126800
Southwest Airlines Co.,6/1/2005,14.55,14.92,13.56,13.93,12.24,72801600
Southwest Airlines Co.,7/1/2005,13.92,14.75,13.32,14.19,12.48,70396700
Southwest Airlines Co.,8/1/2005,14.21,14.40,13.06,13.32,11.71,63509400
Southwest Airlines Co.,9/1/2005,13.32,14.85,13.05,14.85,13.06,101185400
Southwest Airlines Co.,10/1/2005,14.78,16.09,14.54,16.01,14.08,98204600
Southwest Airlines Co.,11/1/2005,16.00,16.75,15.89,16.50,14.51,70744500
Southwest Airlines Co.,12/1/2005,16.50,16.95,16.09,16.43,14.45,59028400
Southwest Airlines Co.,1/1/2006,16.37,17.26,15.51,16.46,14.48,83020300
Southwest Airlines Co.,2/1/2006,16.34,16.93,16.03,16.77,14.76,65582700
Southwest Airlines Co.,3/1/2006,16.70,18.10,16.69,17.99,15.83,83782400
Southwest Airlines Co.,4/1/2006,17.99,18.20,15.90,16.22,14.28,88123800
Southwest Airlines Co.,5/1/2006,16.26,16.92,15.28,16.10,14.17,67471800
Southwest Airlines Co.,6/1/2006,16.14,16.56,15.10,16.37,14.41,69504000
Southwest Airlines Co.,7/1/2006,16.41,18.20,15.66,17.99,15.84,102453500
Southwest Airlines Co.,8/1/2006,17.98,18.09,16.09,17.32,15.25,93882800
Southwest Airlines Co.,9/1/2006,17.43,17.51,16.23,16.66,14.67,112625600
Southwest Airlines Co.,10/1/2006,16.77,17.03,14.94,15.03,13.24,136953200
Southwest Airlines Co.,11/1/2006,15.02,16.33,14.61,15.71,13.84,186382400
Southwest Airlines Co.,12/1/2006,15.60,16.03,15.18,15.32,13.49,120245100
Southwest Airlines Co.,1/1/2007,15.46,16.58,14.95,15.10,13.30,183489900
Southwest Airlines Co.,2/1/2007,15.12,16.14,15.00,15.12,13.32,144376700
Southwest Airlines Co.,3/1/2007,15.05,15.59,14.50,14.70,12.95,163133500
Southwest Airlines Co.,4/1/2007,14.75,15.90,14.21,14.35,12.65,208362600
Southwest Airlines Co.,5/1/2007,14.32,14.82,14.14,14.31,12.61,169527500
Southwest Airlines Co.,6/1/2007,14.38,15.15,14.03,14.91,13.14,185404700
Southwest Airlines Co.,7/1/2007,14.84,16.57,14.84,15.66,13.81,200696500
Southwest Airlines Co.,8/1/2007,15.58,16.96,14.66,15.11,13.32,171291700
Southwest Airlines Co.,9/1/2007,15.11,15.41,14.21,14.80,13.05,112361700
Southwest Airlines Co.,10/1/2007,14.65,15.06,13.70,14.21,12.53,106173100
Southwest Airlines Co.,11/1/2007,14.02,14.80,12.89,14.15,12.48,134056400
Southwest Airlines Co.,12/1/2007,14.04,14.44,12.12,12.20,10.76,100235300
Southwest Airlines Co.,1/1/2008,12.18,12.77,11.02,11.72,10.34,219432800
Southwest Airlines Co.,2/1/2008,11.75,13.10,11.62,12.26,10.82,153707400
Southwest Airlines Co.,3/1/2008,12.22,13.01,11.12,12.40,10.94,166439700
Southwest Airlines Co.,4/1/2008,12.52,13.50,11.75,13.24,11.68,175337000
Southwest Airlines Co.,5/1/2008,13.19,13.66,12.21,13.06,11.53,141851300
Southwest Airlines Co.,6/1/2008,13.08,14.89,12.82,13.04,11.51,233428800
Southwest Airlines Co.,7/1/2008,12.91,16.09,12.68,15.59,13.76,242358200
Southwest Airlines Co.,8/1/2008,15.64,16.49,14.50,15.23,13.45,235388100
Southwest Airlines Co.,9/1/2008,15.83,16.77,13.82,14.51,12.81,261011800
Southwest Airlines Co.,10/1/2008,14.39,14.97,10.26,11.78,10.40,303628700
